Timestamp,Price
2025-03-29 23:22:19,70.65
2025-03-29 23:22:20,70.65
2025-03-29 23:22:21,70.65
2025-03-29 23:22:22,77.35
2025-03-29 23:22:23,77.35
2025-03-29 23:22:24,77.35
2025-03-29 23:22:25,76.9
2025-03-29 23:22:28,76.25
2025-03-29 23:22:30,76.25
2025-03-29 23:22:31,75.8
2025-03-29 23:22:33,75.8
2025-03-29 23:22:34,75.15
2025-03-29 23:22:35,75.15
2025-03-29 23:22:37,74.7
2025-03-29 23:22:38,74.7
2025-03-29 23:22:39,74.7
2025-03-29 23:22:40,74.05
2025-03-29 23:22:41,74.05
2025-03-29 23:22:42,74.05
2025-03-29 23:22:43,73.6
2025-03-29 23:22:44,73.6
2025-03-29 23:22:45,73.6
2025-03-29 23:22:47,72.95
2025-03-29 23:22:48,72.95
2025-03-29 23:22:49,72.5
2025-03-29 23:22:50,72.5
2025-03-29 23:22:51,72.5
2025-03-29 23:22:52,71.85
2025-03-29 23:22:53,71.85
2025-03-29 23:22:55,71.85
2025-03-29 23:22:56,71.4
2025-03-29 23:22:57,71.4
2025-03-29 23:22:58,70.75
2025-03-29 23:22:59,70.75
2025-03-29 23:23:00,70.75
2025-03-29 23:23:01,70.3
2025-03-29 23:23:02,70.3
2025-03-29 23:23:03,70.3
2025-03-29 23:23:04,69.65
2025-03-29 23:23:06,69.65
2025-03-29 23:23:07,69.2
2025-03-29 23:23:08,69.2
2025-03-29 23:23:11,68.55
2025-03-29 23:23:12,68.55
2025-03-29 23:23:13,68.1
2025-03-29 23:23:14,68.1
2025-03-29 23:23:15,68.1
2025-03-29 23:23:18,67.45
2025-03-29 23:23:19,67
2025-03-29 23:23:21,67
2025-03-29 23:23:22,66.35
2025-03-29 23:23:26,65.9
2025-03-29 23:23:28,65.25
2025-03-29 23:23:29,65.25
2025-03-29 23:23:30,65.25
2025-03-29 23:23:31,64.8
2025-03-29 23:23:33,64.8
2025-03-29 23:23:34,64.15
2025-03-29 23:23:36,64.15
2025-03-29 23:23:37,63.7
2025-03-29 23:23:38,63.7
2025-03-29 23:23:39,63.7
2025-03-29 23:23:40,63.05
2025-03-29 23:23:42,63.05
2025-03-29 23:23:44,62.6
2025-03-29 23:23:46,61.95
2025-03-29 23:23:47,61.95
2025-03-29 23:23:48,61.95
2025-03-29 23:23:49,61.5
2025-03-29 23:23:50,61.5
2025-03-29 23:23:51,61.5
2025-03-29 23:23:52,60.85
2025-03-29 23:23:53,60.85
2025-03-29 23:23:55,60.4
2025-03-29 23:23:56,60.4
2025-03-29 23:23:58,59.75
2025-03-29 23:23:59,59.75
2025-03-29 23:24:00,59.75
2025-03-29 23:24:01,59.3
2025-03-29 23:24:02,59.3
2025-03-29 23:24:03,59.3
2025-03-29 23:24:04,58.65
2025-03-29 23:24:05,58.65
2025-03-29 23:24:06,58.65
2025-03-29 23:24:07,58.2
2025-03-29 23:24:08,58.2
2025-03-29 23:24:09,58.2
2025-03-29 23:24:10,57.55
2025-03-29 23:24:11,57.55
2025-03-29 23:24:12,57.55
2025-03-29 23:24:13,57.1
2025-03-29 23:24:14,57.1
2025-03-29 23:24:16,56.45
2025-03-29 23:24:17,56.45
2025-03-29 23:24:18,56.45
2025-03-29 23:24:19,56
2025-03-29 23:24:20,56
2025-03-29 23:24:21,56
2025-03-29 23:24:22,55.35
2025-03-29 23:24:23,55.35
2025-03-29 23:24:34,54.25
2025-03-29 23:24:37,53.8
2025-03-29 23:24:38,53.8
2025-03-29 23:24:39,53.8
2025-03-29 23:24:40,53.15
2025-03-29 23:24:41,53.15
2025-03-29 23:24:42,53.15
2025-03-29 23:24:44,52.7
2025-03-29 23:24:46,52.05
2025-03-29 23:24:47,52.05
2025-03-29 23:24:48,52.05
2025-03-29 23:24:49,51.6
2025-03-29 23:24:50,51.6
2025-03-29 23:24:51,51.6
2025-03-29 23:24:52,50.95
2025-03-29 23:24:53,50.95
2025-03-29 23:24:54,50.95
