contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating
2005,Codeforces Round 972 (Div. 2),CombatDemo,1,1726331700,726,1507
2005,Codeforces Round 972 (Div. 2),SSKMF,2,1726331700,1883,2194
2005,Codeforces Round 972 (Div. 2),kkkksc03,3,1726331700,1619,2002
2005,Codeforces Round 972 (Div. 2),achen.80,4,1726331700,1939,2201
2005,Codeforces Round 972 (Div. 2),SkyWavelet,5,1726331700,0,938
2005,Codeforces Round 972 (Div. 2),cqbztl,6,1726331700,2075,2285
2005,Codeforces Round 972 (Div. 2),untra_robot,7,1726331700,1903,2157
2005,Codeforces Round 972 (Div. 2),BaoJiaoPenguin,8,1726331700,0,916
2005,Codeforces Round 972 (Div. 2),Yousef.Osama,9,1726331700,1969,2196
2005,Codeforces Round 972 (Div. 2),vlp,10,1726331700,2094,2277
2005,Codeforces Round 972 (Div. 2),tranhoangson,11,1726331700,2021,2220
2005,Codeforces Round 972 (Div. 2),Luvidi,12,1726331700,1929,2152
2005,Codeforces Round 972 (Div. 2),zjdl,13,1726331700,1934,2151
2005,Codeforces Round 972 (Div. 2),csp1025,14,1726331700,1553,1942
2005,Codeforces Round 972 (Div. 2),anJueF,15,1726331700,1441,1882
2005,Codeforces Round 972 (Div. 2),chh9976,16,1726331700,1853,2084
2005,Codeforces Round 972 (Div. 2),k1suxu,17,1726331700,2047,2215
2005,Codeforces Round 972 (Div. 2),greencis,18,1726331700,2065,2225
2005,Codeforces Round 972 (Div. 2),MonotonicQueue,19,1726331700,2088,2238
2005,Codeforces Round 972 (Div. 2),Gondozu,20,1726331700,2081,2231
2005,Codeforces Round 972 (Div. 2),EmmaXII,21,1726331700,1240,1727
2005,Codeforces Round 972 (Div. 2),worldwideD,22,1726331700,0,866
2005,Codeforces Round 972 (Div. 2),gravitsapa,23,1726331700,2085,2229
2005,Codeforces Round 972 (Div. 2),LowPill,24,1726331700,2002,2203
2005,Codeforces Round 972 (Div. 2),Drice,25,1726331700,1999,2164
2005,Codeforces Round 972 (Div. 2),Ryuga_,26,1726331700,1759,1998
2005,Codeforces Round 972 (Div. 2),one_autum_leaf,27,1726331700,1879,2076
2005,Codeforces Round 972 (Div. 2),legenda228,28,1726331700,0,853
2005,Codeforces Round 972 (Div. 2),Qzar0v0,29,1726331700,733,1361
2005,Codeforces Round 972 (Div. 2),HonestMagician,30,1726331700,2072,2207
2005,Codeforces Round 972 (Div. 2),sxrcodeforces,31,1726331700,1922,2100
2005,Codeforces Round 972 (Div. 2),guoxiangyu,32,1726331700,1947,2116
2005,Codeforces Round 972 (Div. 2),Ste,33,1726331700,2039,2179
2005,Codeforces Round 972 (Div. 2),tch1cherin,34,1726331700,2094,2216
2005,Codeforces Round 972 (Div. 2),devxxed,35,1726331700,781,1381
2005,Codeforces Round 972 (Div. 2),VasyaMer,36,1726331700,2089,2210
2005,Codeforces Round 972 (Div. 2),N00BGH0ST,37,1726331700,2067,2193
2005,Codeforces Round 972 (Div. 2),I_HATE_GEOMETRY,38,1726331700,1901,2075
2005,Codeforces Round 972 (Div. 2),CSQ31,39,1726331700,1820,2018
2005,Codeforces Round 972 (Div. 2),lemon8,40,1726331700,1898,2070
2005,Codeforces Round 972 (Div. 2),qwe1rt1yuiop1,41,1726331700,2078,2195
2005,Codeforces Round 972 (Div. 2),goncharovmike,42,1726331700,2072,2190
2005,Codeforces Round 972 (Div. 2),Karabutsa,43,1726331700,1966,2113
2005,Codeforces Round 972 (Div. 2),nguyentunglam,44,1726331700,1935,2089
2005,Codeforces Round 972 (Div. 2),Pentacontakaiheptagon,44,1726331700,1223,1679
2005,Codeforces Round 972 (Div. 2),nan02,46,1726331700,2023,2150
2005,Codeforces Round 972 (Div. 2),Stanislau,47,1726331700,1992,2127
2005,Codeforces Round 972 (Div. 2),qqqaaazzz,48,1726331700,1984,2120
2005,Codeforces Round 972 (Div. 2),enceladus_,49,1726331700,1684,1969
2005,Codeforces Round 972 (Div. 2),Kireha,49,1726331700,0,823
2005,Codeforces Round 972 (Div. 2),anthonyaaab123,51,1726331700,2063,2174
2005,Codeforces Round 972 (Div. 2),h2rsh,52,1726331700,1884,2047
2005,Codeforces Round 972 (Div. 2),zhenghanyun2,53,1726331700,2045,2159
2005,Codeforces Round 972 (Div. 2),Birds,54,1726331700,2007,2131
2005,Codeforces Round 972 (Div. 2),SirTechnical,55,1726331700,2045,2157
2005,Codeforces Round 972 (Div. 2),bkdn24.leevox,56,1726331700,737,1327
