contestId,contestName,handle,rank,ratingUpdateTimeSeconds,oldRating,newRating
2029,Refact.ai Match 1 (Codeforces Round 985),Benq,1,1731173700,3620,3738
2029,Refact.ai Match 1 (Codeforces Round 985),jiangly,2,1731173700,3831,3823
2029,Refact.ai Match 1 (Codeforces Round 985),hos.lyric,3,1731173700,3237,3349
2029,Refact.ai Match 1 (Codeforces Round 985),Radewoosh,4,1731173700,3646,3633
2029,Refact.ai Match 1 (Codeforces Round 985),arvindf232,5,1731173700,3007,3139
2029,Refact.ai Match 1 (Codeforces Round 985),Nachia,6,1731173700,3151,3234
2029,Refact.ai Match 1 (Codeforces Round 985),ksun48,7,1731173700,3373,3390
2029,Refact.ai Match 1 (Codeforces Round 985),Szoboszlai10,8,1731173700,3083,3163
2029,Refact.ai Match 1 (Codeforces Round 985),Endagorion,9,1731173700,2911,3028
2029,Refact.ai Match 1 (Codeforces Round 985),_Serge_,10,1731173700,2665,2838
2029,Refact.ai Match 1 (Codeforces Round 985),jiangbowen,11,1731173700,3035,3106
2029,Refact.ai Match 1 (Codeforces Round 985),maroonrk,12,1731173700,3204,3226
2029,Refact.ai Match 1 (Codeforces Round 985),kizen,13,1731173700,2654,2812
2029,Refact.ai Match 1 (Codeforces Round 985),244mhq,14,1731173700,2968,3040
2029,Refact.ai Match 1 (Codeforces Round 985),Ormlis,15,1731173700,3168,3184
2029,Refact.ai Match 1 (Codeforces Round 985),potato167,16,1731173700,3093,3124
2029,Refact.ai Match 1 (Codeforces Round 985),Flamire,17,1731173700,2777,2885
2029,Refact.ai Match 1 (Codeforces Round 985),TKT_YI,18,1731173700,2666,2798
2029,Refact.ai Match 1 (Codeforces Round 985),ainta,19,1731173700,2782,2881
2029,Refact.ai Match 1 (Codeforces Round 985),PinkieRabbit,20,1731173700,2814,2901
2029,Refact.ai Match 1 (Codeforces Round 985),Kapt,21,1731173700,3072,3089
2029,Refact.ai Match 1 (Codeforces Round 985),Karuna,22,1731173700,2917,2971
2029,Refact.ai Match 1 (Codeforces Round 985),ppavic,23,1731173700,2755,2847
2029,Refact.ai Match 1 (Codeforces Round 985),PCTprobability,24,1731173700,2850,2912
2029,Refact.ai Match 1 (Codeforces Round 985),peltorator,24,1731173700,2797,2873
2029,Refact.ai Match 1 (Codeforces Round 985),ugly2333,26,1731173700,3141,3127
2029,Refact.ai Match 1 (Codeforces Round 985),dreamoon_love_AA,27,1731173700,2845,2903
2029,Refact.ai Match 1 (Codeforces Round 985),dog_of_Nesraychan,28,1731173700,2859,2911
2029,Refact.ai Match 1 (Codeforces Round 985),ko_osaga,29,1731173700,3136,3116
2029,Refact.ai Match 1 (Codeforces Round 985),heuristica,30,1731173700,3320,3251
2029,Refact.ai Match 1 (Codeforces Round 985),bashkort,31,1731173700,2868,2911
2029,Refact.ai Match 1 (Codeforces Round 985),rqoi031,32,1731173700,2573,2690
2029,Refact.ai Match 1 (Codeforces Round 985),Rubikun,33,1731173700,2995,3001
2029,Refact.ai Match 1 (Codeforces Round 985),rin204,34,1731173700,2754,2820
2029,Refact.ai Match 1 (Codeforces Round 985),Petr,35,1731173700,3127,3096
2029,Refact.ai Match 1 (Codeforces Round 985),cn449,36,1731173700,2553,2666
2029,Refact.ai Match 1 (Codeforces Round 985),dorijanlendvaj,37,1731173700,3049,3034
2029,Refact.ai Match 1 (Codeforces Round 985),ComPhyPark,38,1731173700,2258,2448
2029,Refact.ai Match 1 (Codeforces Round 985),le0n,39,1731173700,2892,2913
2029,Refact.ai Match 1 (Codeforces Round 985),hxhhxh,40,1731173700,2464,2594
2029,Refact.ai Match 1 (Codeforces Round 985),Forested,41,1731173700,2829,2862
2029,Refact.ai Match 1 (Codeforces Round 985),A_G,42,1731173700,2887,2904
2029,Refact.ai Match 1 (Codeforces Round 985),Mapakaka,43,1731173700,2686,2753
2029,Refact.ai Match 1 (Codeforces Round 985),antontrygubO_o,44,1731173700,2764,2809
